"","termin_wycieczki","wyzywienie","organizator","region","miejscowosc","ocena_wycieczki","hotel_nazwa","hotel_gwiazdki","id_wycieczki","liczba_rezerwacji","cena_za_osobe","data_aktualizacji"
"93",2019-03-05,"œniadania","Exim Tours","Costa Blanca","Benidorm",8.1,"Gran Hotel Bali",4,"499257",345,1589,2018-12-23
"94",2019-03-09,"œniadania","Exim Tours","Teneryfa",NA,8.6,"Perla Tenerife",3,"491659",56,1779,2018-12-23
"95",2019-05-16,"œniadania","Neckermann","Gran Canaria","Maspalomas",9.4,"Ifa Faro",4.5,"500120",NA,4448,2018-12-23
"96",2019-03-23,"œniadania","Exim Tours","Teneryfa",NA,6.1,"San Telmo (Puerto de la Cruz)",3,"491888",69,1719,2018-12-23
"97",2019-04-02,"œniadania i obiadokolacje","Exim Tours","Costa del Sol","Cala de Mijas",7.6,"VIK Gran Costa del Sol",4,"510005",116,1879,2018-12-23
"98",2019-03-09,"œniadania i obiadokolacje","Exim Tours","Teneryfa","Costa Adeje",7.9,"Laguna Park II",2,"491900",24,2239,2018-12-23
"99",2019-03-09,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,NA,"La Carabela (Puerto de la Cruz)",3,"498579",NA,1439,2018-12-23
"100",2019-05-18,"œniadania","Exim Tours","Teneryfa",NA,NA,"Panoramica Garden",3,"522493",NA,1639,2018-12-23
"101",2019-03-09,"œniadania","Exim Tours","Teneryfa",NA,8.9,"The Be Live Adults Only Tenerife (ex Be Live Exper",4,"491898",256,2129,2018-12-23
"102",2019-03-25,"All Inclusive","Itaka","Fuerteventura","Marabu",8.2,"Fuerteventura Princess",4,"480073",270,3169,2018-12-23
"103",2019-05-10,"All Inclusive","Rainbow","Gran Canaria","Playa del Ingles",8.1,"Labranda Playa Bonita (ex. Los Salmones)",4,"359560",60,2635,2018-12-23
"104",2019-05-18,"œniadania","Exim Tours","Teneryfa",NA,3.9,"Globales Acuario",2,"509647",154,1449,2018-12-23
"105",2019-03-17,"œniadania","Exim Tours","Teneryfa",NA,3.9,"Globales Acuario",2,"491821",154,1449,2018-12-23
"106",2019-03-04,"All Inclusive","Itaka","Fuerteventura","Costa Calma",8,"SBH Monica Beach",4,"442080",211,3169,2018-12-23
"107",2019-05-21,"All Inclusive","Itaka","Gran Canaria","Playa de Taurito",8.2,"Mogan Princess & Beach Club Resort",4,"442095",147,3169,2018-12-23
"108",2019-05-18,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,NA,"Las Aguilas",4,"518582",NA,2089,2018-12-23
"109",2019-03-03,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,NA,"Las Aguilas",4,"498836",NA,2249,2018-12-23
"110",2019-05-18,"œniadania","Exim Tours","Teneryfa",NA,8.1,"Trovador",3,"518594",67,1489,2018-12-23
"111",2019-03-23,"œniadania","Exim Tours","Teneryfa",NA,8.1,"Trovador",3,"491889",67,1859,2018-12-23
